departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
NARIÑO,52,CUMBITARA,"52,233",Rural,Vereda Miguel Nulpi,"2,018",10,Mayor de 18 años,no,Civil,Muerto,Masculino,1.867,-77.664,Accidente por MAP,"(1.867, -77.664)","Pasando, estando cerca"
NARIÑO,52,CUMBITARA,"52,233",Rural,Vereda Miguel Nulpi,"2,018",10,Mayor de 18 años,no,Civil,Herido,Masculino,1.867,-77.664,Accidente por MAP,"(1.867, -77.664)","Pasando, estando cerca"
ANTIOQUIA,5,ZARAGOZA,"5,895",Rural,vereda  Jala Jala,"2,018",10,Mayor de 18 años,no,Civil,Herido,Masculino,7.435,-74.937,Accidente por MAP,"(7.435, -74.937)","Pasando, estando cerca"
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Mochos,"2,018",10,Mayor de 18 años,no,Civil,Herido,Masculino,7.582546,-75.400212,Accidente por MAP,"(7.582546, -75.400212)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Mochos,"2,018",10,Mayor de 18 años,no,Civil,Herido,Masculino,7.582546,-75.400212,Accidente por MAP,"(7.582546, -75.400212)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Mochos,"2,018",10,Mayor de 18 años,no,Civil,Herido,Masculino,7.582546,-75.400212,Accidente por MAP,"(7.582546, -75.400212)",Erradicador manual - PCI
NORTE DE SANTANDER,54,HACARÍ,"54,344",Rural,Sin Información,"2,018",12,Mayor de 18 años,no,Civil,Herido,Masculino,8.407,-73.082,Accidente por MAP,"(8.407, -73.082)",Cuidado de animales
NORTE DE SANTANDER,54,HACARÍ,"54,344",Rural,VEREDA SAN CAYETANO,"2,018",12,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.40888888888889,-73.1358333333333,Accidente por MAP,"(8.40888888888889, -73.1358333333333)",Fuerza pública
NORTE DE SANTANDER,54,HACARÍ,"54,344",Rural,VEREDA SAN CAYETANO,"2,018",12,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.40888888888889,-73.1358333333333,Accidente por MAP,"(8.40888888888889, -73.1358333333333)",Fuerza pública
NORTE DE SANTANDER,54,HACARÍ,"54,344",Rural,VEREDA SAN CAYETANO,"2,018",12,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.40972222222222,-73.1352777777778,Accidente por MAP,"(8.40972222222222, -73.1352777777778)",Fuerza pública
NORTE DE SANTANDER,54,TEORAMA,"54,800",Rural,VEREDA CUATRO ESQUINAS,"2,018",12,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.43305555555555,-73.3086111111111,Accidente por MAP,"(8.43305555555555, -73.3086111111111)",Fuerza pública
NORTE DE SANTANDER,54,TEORAMA,"54,800",Rural,VEREDA CUATRO ESQUINAS,"2,018",12,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.43305555555555,-73.3086111111111,Accidente por MAP,"(8.43305555555555, -73.3086111111111)",Fuerza pública
NARIÑO,52,LA LLANADA,"52,385",Rural,VEREDA LA FLORESTA,"2,018",12,Mayor de 18 años,no,Civil,Herido,Masculino,1.48461343538,-77.5708777095,Accidente por MAP,"(1.48461343538, -77.5708777095)",Transito por trocha atajo
NARIÑO,52,TUMACO,"52,835",Rural,VEREDA EL TANDIL,"2,018",5,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.30369444444444,-78.6093333333333,Accidente por MAP,"(1.30369444444444, -78.6093333333333)",Erradicación - PONAL
NARIÑO,52,LA LLANADA,"52,385",Rural,VEREDA LA FLORESTA,"2,018",12,Mayor de 18 años,no,Civil,Herido,Masculino,1.48461343538,-77.5708777095,Accidente por MAP,"(1.48461343538, -77.5708777095)",Transito por trocha atajo
NARIÑO,52,TUMACO,"52,835",Rural,VEREDA EL TANDIL,"2,018",5,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.30369444444444,-78.6093333333333,Accidente por MAP,"(1.30369444444444, -78.6093333333333)",Erradicación - PONAL
NARIÑO,52,TUMACO,"52,835",Rural,VEREDA EL TANDIL,"2,018",5,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.30369444444444,-78.6093333333333,Accidente por MAP,"(1.30369444444444, -78.6093333333333)",Sin Información
NARIÑO,52,TUMACO,"52,835",Rural,GUAYACANA LA MARRANERA,"2,018",10,Mayor de 18 años,no,Fuerza pública,Muerto,Masculino,1.40447222222222,-78.4279166666667,Accidente por MAP,"(1.40447222222222, -78.4279166666667)",Erradicación - PONAL
NARIÑO,52,TUMACO,"52,835",Rural,GUAYACANA LA MARRANERA,"2,018",10,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.40447222222222,-78.4279166666667,Accidente por MAP,"(1.40447222222222, -78.4279166666667)",Erradicación - PONAL
